pair,method,interpretation
"ECDSA-P256 vs RSA-2048 (Unconstrained, generate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs Dilithium2 (Unconstrained, generate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs Dilithium3 (Unconstrained, generate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs Dilithium5 (Unconstrained, generate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs SPHINCS+SHA2-128s-simple (Unconstrained, generate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs SPHINCS+SHA2-192s-simple (Unconstrained, generate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs SPHINCS+SHA2-256s-simple (Unconstrained, generate_median_time)",Cliff's Delta,large
"RSA-2048 vs Dilithium2 (Unconstrained, generate_median_time)",Cliff's Delta,large
"RSA-2048 vs Dilithium3 (Unconstrained, generate_median_time)",Cliff's Delta,large
"RSA-2048 vs Dilithium5 (Unconstrained, generate_median_time)",Cliff's Delta,large
"RSA-2048 vs SPHINCS+SHA2-128s-simple (Unconstrained, generate_median_time)",Cliff's Delta,large
"RSA-2048 vs SPHINCS+SHA2-192s-simple (Unconstrained, generate_median_time)",Cliff's Delta,large
"RSA-2048 vs SPHINCS+SHA2-256s-simple (Unconstrained, generate_median_time)",Cliff's Delta,large
"Dilithium2 vs Dilithium3 (Unconstrained, generate_median_time)",Cliff's Delta,large
"Dilithium2 vs Dilithium5 (Unconstrained, generate_median_time)",Cliff's Delta,large
"Dilithium2 vs SPHINCS+SHA2-128s-simple (Unconstrained, generate_median_time)",Cliff's Delta,large
"Dilithium2 vs SPHINCS+SHA2-192s-simple (Unconstrained, generate_median_time)",Cliff's Delta,large
"Dilithium2 vs SPHINCS+SHA2-256s-simple (Unconstrained, generate_median_time)",Cliff's Delta,large
"Dilithium3 vs Dilithium5 (Unconstrained, generate_median_time)",Cliff's Delta,large
"Dilithium3 vs SPHINCS+SHA2-128s-simple (Unconstrained, generate_median_time)",Cliff's Delta,large
"Dilithium3 vs SPHINCS+SHA2-192s-simple (Unconstrained, generate_median_time)",Cliff's Delta,large
"Dilithium3 vs SPHINCS+SHA2-256s-simple (Unconstrained, generate_median_time)",Cliff's Delta,large
"Dilithium5 vs SPHINCS+SHA2-128s-simple (Unconstrained, generate_median_time)",Cliff's Delta,large
"Dilithium5 vs SPHINCS+SHA2-192s-simple (Unconstrained, generate_median_time)",Cliff's Delta,large
"Dilithium5 vs SPHINCS+SHA2-256s-simple (Unconstrained, generate_median_time)",Cliff's Delta,large
"SPHINCS+SHA2-128s-simple vs SPHINCS+SHA2-192s-simple (Unconstrained, generate_median_time)",Cliff's Delta,large
"SPHINCS+SHA2-128s-simple vs SPHINCS+SHA2-256s-simple (Unconstrained, generate_median_time)",Cliff's Delta,large
"SPHINCS+SHA2-192s-simple vs SPHINCS+SHA2-256s-simple (Unconstrained, generate_median_time)",Cliff's Delta,large
"BIKE-L1 vs ML-KEM-512 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs ML-KEM-768 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs ML-KEM-1024 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs FrodoKEM-640-AES (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs ECDH-X25519 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs ECDSA-P256 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs RSA-2048 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs Dilithium2 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs Dilithium3 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs Dilithium5 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs SPHINCS+SHA2-128s-simple (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs SPHINCS+SHA2-192s-simple (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs SPHINCS+SHA2-256s-simple (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs ML-KEM-768 (Unconstrained, encapsulate_median_time)",Cliff's Delta,medium
"ML-KEM-512 vs ML-KEM-1024 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs FrodoKEM-640-AES (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs ECDH-X25519 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs ECDSA-P256 (Unconstrained, encapsulate_median_time)",Cliff's Delta,small
"ML-KEM-512 vs RSA-2048 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs Dilithium2 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
