pair,method,interpretation
"Dilithium3 vs SPHINCS+SHA2-192s-simple (Unconstrained, decapsulate_median_time)",Cliff's Delta,large
"Dilithium3 vs SPHINCS+SHA2-256s-simple (Unconstrained, decapsulate_median_time)",Cliff's Delta,large
"Dilithium5 vs SPHINCS+SHA2-128s-simple (Unconstrained, decapsulate_median_time)",Cliff's Delta,large
"Dilithium5 vs SPHINCS+SHA2-192s-simple (Unconstrained, decapsulate_median_time)",Cliff's Delta,large
"Dilithium5 vs SPHINCS+SHA2-256s-simple (Unconstrained, decapsulate_median_time)",Cliff's Delta,large
"SPHINCS+SHA2-128s-simple vs SPHINCS+SHA2-192s-simple (Unconstrained, decapsulate_median_time)",Cliff's Delta,large
"SPHINCS+SHA2-128s-simple vs SPHINCS+SHA2-256s-simple (Unconstrained, decapsulate_median_time)",Cliff's Delta,large
"SPHINCS+SHA2-192s-simple vs SPHINCS+SHA2-256s-simple (Unconstrained, decapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs ML-KEM-512 (Moderate, generate_median_time)",Cliff's Delta,large
"BIKE-L1 vs ML-KEM-768 (Moderate, generate_median_time)",Cliff's Delta,large
"BIKE-L1 vs ML-KEM-1024 (Moderate, generate_median_time)",Cliff's Delta,large
"BIKE-L1 vs FrodoKEM-640-AES (Moderate, generate_median_time)",Cliff's Delta,large
"BIKE-L1 vs ECDH-X25519 (Moderate, generate_median_time)",Cliff's Delta,large
"BIKE-L1 vs ECDSA-P256 (Moderate, generate_median_time)",Cliff's Delta,large
"BIKE-L1 vs RSA-2048 (Moderate, generate_median_time)",Cliff's Delta,large
"BIKE-L1 vs Dilithium2 (Moderate, generate_median_time)",Cliff's Delta,large
"BIKE-L1 vs Dilithium3 (Moderate, generate_median_time)",Cliff's Delta,large
"BIKE-L1 vs Dilithium5 (Moderate, generate_median_time)",Cliff's Delta,large
"BIKE-L1 vs SPHINCS+SHA2-128s-simple (Moderate, generate_median_time)",Cliff's Delta,large
"BIKE-L1 vs SPHINCS+SHA2-192s-simple (Moderate, generate_median_time)",Cliff's Delta,large
"BIKE-L1 vs SPHINCS+SHA2-256s-simple (Moderate, generate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs ML-KEM-768 (Moderate, generate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs ML-KEM-1024 (Moderate, generate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs FrodoKEM-640-AES (Moderate, generate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs ECDH-X25519 (Moderate, generate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs ECDSA-P256 (Moderate, generate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs RSA-2048 (Moderate, generate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs Dilithium2 (Moderate, generate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs Dilithium3 (Moderate, generate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs Dilithium5 (Moderate, generate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs SPHINCS+SHA2-128s-simple (Moderate, generate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs SPHINCS+SHA2-192s-simple (Moderate, generate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs SPHINCS+SHA2-256s-simple (Moderate, generate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs ML-KEM-1024 (Moderate, generate_median_time)",Cliff's Delta,medium
"ML-KEM-768 vs FrodoKEM-640-AES (Moderate, generate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs ECDH-X25519 (Moderate, generate_median_time)",Cliff's Delta,medium
"ML-KEM-768 vs ECDSA-P256 (Moderate, generate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs RSA-2048 (Moderate, generate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs Dilithium2 (Moderate, generate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs Dilithium3 (Moderate, generate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs Dilithium5 (Moderate, generate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs SPHINCS+SHA2-128s-simple (Moderate, generate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs SPHINCS+SHA2-192s-simple (Moderate, generate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs SPHINCS+SHA2-256s-simple (Moderate, generate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs FrodoKEM-640-AES (Moderate, generate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs ECDH-X25519 (Moderate, generate_median_time)",Cliff's Delta,medium
"ML-KEM-1024 vs ECDSA-P256 (Moderate, generate_median_time)",Cliff's Delta,medium
"ML-KEM-1024 vs RSA-2048 (Moderate, generate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs Dilithium2 (Moderate, generate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs Dilithium3 (Moderate, generate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs Dilithium5 (Moderate, generate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs SPHINCS+SHA2-128s-simple (Moderate, generate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs SPHINCS+SHA2-192s-simple (Moderate, generate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs SPHINCS+SHA2-256s-simple (Moderate, generate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs ECDH-X25519 (Moderate, generate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs ECDSA-P256 (Moderate, generate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs RSA-2048 (Moderate, generate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs Dilithium2 (Moderate, generate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs Dilithium3 (Moderate, generate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs Dilithium5 (Moderate, generate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs SPHINCS+SHA2-128s-simple (Moderate, generate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs SPHINCS+SHA2-192s-simple (Moderate, generate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs SPHINCS+SHA2-256s-simple (Moderate, generate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs ECDSA-P256 (Moderate, generate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs RSA-2048 (Moderate, generate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs Dilithium2 (Moderate, generate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs Dilithium3 (Moderate, generate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs Dilithium5 (Moderate, generate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs SPHINCS+SHA2-128s-simple (Moderate, generate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs SPHINCS+SHA2-192s-simple (Moderate, generate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs SPHINCS+SHA2-256s-simple (Moderate, generate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs RSA-2048 (Moderate, generate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs Dilithium2 (Moderate, generate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs Dilithium3 (Moderate, generate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs Dilithium5 (Moderate, generate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs SPHINCS+SHA2-128s-simple (Moderate, generate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs SPHINCS+SHA2-192s-simple (Moderate, generate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs SPHINCS+SHA2-256s-simple (Moderate, generate_median_time)",Cliff's Delta,large
"RSA-2048 vs Dilithium2 (Moderate, generate_median_time)",Cliff's Delta,large
"RSA-2048 vs Dilithium3 (Moderate, generate_median_time)",Cliff's Delta,large
"RSA-2048 vs Dilithium5 (Moderate, generate_median_time)",Cliff's Delta,large
"RSA-2048 vs SPHINCS+SHA2-128s-simple (Moderate, generate_median_time)",Cliff's Delta,large
"RSA-2048 vs SPHINCS+SHA2-192s-simple (Moderate, generate_median_time)",Cliff's Delta,large
"RSA-2048 vs SPHINCS+SHA2-256s-simple (Moderate, generate_median_time)",Cliff's Delta,large
"Dilithium2 vs Dilithium3 (Moderate, generate_median_time)",Cliff's Delta,large
"Dilithium2 vs Dilithium5 (Moderate, generate_median_time)",Cliff's Delta,large
"Dilithium2 vs SPHINCS+SHA2-128s-simple (Moderate, generate_median_time)",Cliff's Delta,large
"Dilithium2 vs SPHINCS+SHA2-192s-simple (Moderate, generate_median_time)",Cliff's Delta,large
"Dilithium2 vs SPHINCS+SHA2-256s-simple (Moderate, generate_median_time)",Cliff's Delta,large
"Dilithium3 vs Dilithium5 (Moderate, generate_median_time)",Cliff's Delta,large
"Dilithium3 vs SPHINCS+SHA2-128s-simple (Moderate, generate_median_time)",Cliff's Delta,large
"Dilithium3 vs SPHINCS+SHA2-192s-simple (Moderate, generate_median_time)",Cliff's Delta,large
"Dilithium3 vs SPHINCS+SHA2-256s-simple (Moderate, generate_median_time)",Cliff's Delta,large
"Dilithium5 vs SPHINCS+SHA2-128s-simple (Moderate, generate_median_time)",Cliff's Delta,large
"Dilithium5 vs SPHINCS+SHA2-192s-simple (Moderate, generate_median_time)",Cliff's Delta,large
"Dilithium5 vs SPHINCS+SHA2-256s-simple (Moderate, generate_median_time)",Cliff's Delta,large
"SPHINCS+SHA2-128s-simple vs SPHINCS+SHA2-192s-simple (Moderate, generate_median_time)",Cliff's Delta,large
"SPHINCS+SHA2-128s-simple vs SPHINCS+SHA2-256s-simple (Moderate, generate_median_time)",Cliff's Delta,large
"SPHINCS+SHA2-192s-simple vs SPHINCS+SHA2-256s-simple (Moderate, generate_median_time)",Cliff's Delta,large
"BIKE-L1 vs ML-KEM-512 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs ML-KEM-768 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs ML-KEM-1024 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs FrodoKEM-640-AES (Moderate, encapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs ECDH-X25519 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs ECDSA-P256 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs RSA-2048 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs Dilithium2 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs Dilithium3 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs Dilithium5 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs SPHINCS+SHA2-128s-simple (Moderate, encapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs SPHINCS+SHA2-192s-simple (Moderate, encapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs SPHINCS+SHA2-256s-simple (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs ML-KEM-768 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs ML-KEM-1024 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs FrodoKEM-640-AES (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs ECDH-X25519 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs ECDSA-P256 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs RSA-2048 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs Dilithium2 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs Dilithium3 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs Dilithium5 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs SPHINCS+SHA2-128s-simple (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs SPHINCS+SHA2-192s-simple (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs SPHINCS+SHA2-256s-simple (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs ML-KEM-1024 (Moderate, encapsulate_median_time)",Cliff's Delta,medium
"ML-KEM-768 vs FrodoKEM-640-AES (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs ECDH-X25519 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs ECDSA-P256 (Moderate, encapsulate_median_time)",Cliff's Delta,medium
"ML-KEM-768 vs RSA-2048 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs Dilithium2 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs Dilithium3 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs Dilithium5 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs SPHINCS+SHA2-128s-simple (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs SPHINCS+SHA2-192s-simple (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs SPHINCS+SHA2-256s-simple (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs FrodoKEM-640-AES (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs ECDH-X25519 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs ECDSA-P256 (Moderate, encapsulate_median_time)",Cliff's Delta,negligible
"ML-KEM-1024 vs RSA-2048 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs Dilithium2 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs Dilithium3 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs Dilithium5 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs SPHINCS+SHA2-128s-simple (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs SPHINCS+SHA2-192s-simple (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs SPHINCS+SHA2-256s-simple (Moderate, encapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs ECDH-X25519 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs ECDSA-P256 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs RSA-2048 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs Dilithium2 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs Dilithium3 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs Dilithium5 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs SPHINCS+SHA2-128s-simple (Moderate, encapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs SPHINCS+SHA2-192s-simple (Moderate, encapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs SPHINCS+SHA2-256s-simple (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs ECDSA-P256 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs RSA-2048 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs Dilithium2 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs Dilithium3 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs Dilithium5 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs SPHINCS+SHA2-128s-simple (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs SPHINCS+SHA2-192s-simple (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs SPHINCS+SHA2-256s-simple (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs RSA-2048 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs Dilithium2 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs Dilithium3 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs Dilithium5 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs SPHINCS+SHA2-128s-simple (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs SPHINCS+SHA2-192s-simple (Moderate, encapsulate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs SPHINCS+SHA2-256s-simple (Moderate, encapsulate_median_time)",Cliff's Delta,large
"RSA-2048 vs Dilithium2 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"RSA-2048 vs Dilithium3 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"RSA-2048 vs Dilithium5 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"RSA-2048 vs SPHINCS+SHA2-128s-simple (Moderate, encapsulate_median_time)",Cliff's Delta,large
"RSA-2048 vs SPHINCS+SHA2-192s-simple (Moderate, encapsulate_median_time)",Cliff's Delta,large
"RSA-2048 vs SPHINCS+SHA2-256s-simple (Moderate, encapsulate_median_time)",Cliff's Delta,large
"Dilithium2 vs Dilithium3 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"Dilithium2 vs Dilithium5 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"Dilithium2 vs SPHINCS+SHA2-128s-simple (Moderate, encapsulate_median_time)",Cliff's Delta,large
"Dilithium2 vs SPHINCS+SHA2-192s-simple (Moderate, encapsulate_median_time)",Cliff's Delta,large
"Dilithium2 vs SPHINCS+SHA2-256s-simple (Moderate, encapsulate_median_time)",Cliff's Delta,large
"Dilithium3 vs Dilithium5 (Moderate, encapsulate_median_time)",Cliff's Delta,large
"Dilithium3 vs SPHINCS+SHA2-128s-simple (Moderate, encapsulate_median_time)",Cliff's Delta,large
"Dilithium3 vs SPHINCS+SHA2-192s-simple (Moderate, encapsulate_median_time)",Cliff's Delta,large
"Dilithium3 vs SPHINCS+SHA2-256s-simple (Moderate, encapsulate_median_time)",Cliff's Delta,large
"Dilithium5 vs SPHINCS+SHA2-128s-simple (Moderate, encapsulate_median_time)",Cliff's Delta,large
"Dilithium5 vs SPHINCS+SHA2-192s-simple (Moderate, encapsulate_median_time)",Cliff's Delta,large
"Dilithium5 vs SPHINCS+SHA2-256s-simple (Moderate, encapsulate_median_time)",Cliff's Delta,large
"SPHINCS+SHA2-128s-simple vs SPHINCS+SHA2-192s-simple (Moderate, encapsulate_median_time)",Cliff's Delta,large
"SPHINCS+SHA2-128s-simple vs SPHINCS+SHA2-256s-simple (Moderate, encapsulate_median_time)",Cliff's Delta,large
"SPHINCS+SHA2-192s-simple vs SPHINCS+SHA2-256s-simple (Moderate, encapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs ML-KEM-512 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs ML-KEM-768 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs ML-KEM-1024 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs FrodoKEM-640-AES (Moderate, decapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs ECDH-X25519 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs ECDSA-P256 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs RSA-2048 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs Dilithium2 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs Dilithium3 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs Dilithium5 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs SPHINCS+SHA2-128s-simple (Moderate, decapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs SPHINCS+SHA2-192s-simple (Moderate, decapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs SPHINCS+SHA2-256s-simple (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs ML-KEM-768 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs ML-KEM-1024 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs FrodoKEM-640-AES (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs ECDH-X25519 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs ECDSA-P256 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs RSA-2048 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs Dilithium2 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs Dilithium3 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs Dilithium5 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs SPHINCS+SHA2-128s-simple (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs SPHINCS+SHA2-192s-simple (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs SPHINCS+SHA2-256s-simple (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs ML-KEM-1024 (Moderate, decapsulate_median_time)",Cliff's Delta,medium
"ML-KEM-768 vs FrodoKEM-640-AES (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs ECDH-X25519 (Moderate, decapsulate_median_time)",Cliff's Delta,small
"ML-KEM-768 vs ECDSA-P256 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs RSA-2048 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs Dilithium2 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs Dilithium3 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs Dilithium5 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs SPHINCS+SHA2-128s-simple (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs SPHINCS+SHA2-192s-simple (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs SPHINCS+SHA2-256s-simple (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs FrodoKEM-640-AES (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs ECDH-X25519 (Moderate, decapsulate_median_time)",Cliff's Delta,medium
"ML-KEM-1024 vs ECDSA-P256 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs RSA-2048 (Moderate, decapsulate_median_time)",Cliff's Delta,small
"ML-KEM-1024 vs Dilithium2 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs Dilithium3 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs Dilithium5 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs SPHINCS+SHA2-128s-simple (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs SPHINCS+SHA2-192s-simple (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs SPHINCS+SHA2-256s-simple (Moderate, decapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs ECDH-X25519 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs ECDSA-P256 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs RSA-2048 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs Dilithium2 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs Dilithium3 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs Dilithium5 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs SPHINCS+SHA2-128s-simple (Moderate, decapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs SPHINCS+SHA2-192s-simple (Moderate, decapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs SPHINCS+SHA2-256s-simple (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs ECDSA-P256 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs RSA-2048 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs Dilithium2 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs Dilithium3 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs Dilithium5 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs SPHINCS+SHA2-128s-simple (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs SPHINCS+SHA2-192s-simple (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs SPHINCS+SHA2-256s-simple (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs RSA-2048 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs Dilithium2 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs Dilithium3 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs Dilithium5 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs SPHINCS+SHA2-128s-simple (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs SPHINCS+SHA2-192s-simple (Moderate, decapsulate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs SPHINCS+SHA2-256s-simple (Moderate, decapsulate_median_time)",Cliff's Delta,large
"RSA-2048 vs Dilithium2 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"RSA-2048 vs Dilithium3 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"RSA-2048 vs Dilithium5 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"RSA-2048 vs SPHINCS+SHA2-128s-simple (Moderate, decapsulate_median_time)",Cliff's Delta,large
"RSA-2048 vs SPHINCS+SHA2-192s-simple (Moderate, decapsulate_median_time)",Cliff's Delta,large
"RSA-2048 vs SPHINCS+SHA2-256s-simple (Moderate, decapsulate_median_time)",Cliff's Delta,large
"Dilithium2 vs Dilithium3 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"Dilithium2 vs Dilithium5 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"Dilithium2 vs SPHINCS+SHA2-128s-simple (Moderate, decapsulate_median_time)",Cliff's Delta,large
"Dilithium2 vs SPHINCS+SHA2-192s-simple (Moderate, decapsulate_median_time)",Cliff's Delta,large
"Dilithium2 vs SPHINCS+SHA2-256s-simple (Moderate, decapsulate_median_time)",Cliff's Delta,large
"Dilithium3 vs Dilithium5 (Moderate, decapsulate_median_time)",Cliff's Delta,large
"Dilithium3 vs SPHINCS+SHA2-128s-simple (Moderate, decapsulate_median_time)",Cliff's Delta,large
"Dilithium3 vs SPHINCS+SHA2-192s-simple (Moderate, decapsulate_median_time)",Cliff's Delta,large
"Dilithium3 vs SPHINCS+SHA2-256s-simple (Moderate, decapsulate_median_time)",Cliff's Delta,large
